Precinct,Registered Voters,Martinez,Adler
101,561,30,33
102,1050,29,58
103,1634,69,185
104,1245,78,158
105,0,0,0
106,0,0,0
108,1508,67,100
109,2472,79,174
111,4517,124,287
112,1732,22,50
113,574,24,37
116,0,0,0
117,2728,94,108
118,863,30,31
120,1,0,0
121,984,46,44
122,3045,177,300
124,5493,370,299
125,0,0,0
126,5325,405,335
127,0,0,0
128,0,0,0
129,3022,175,178
130,2038,167,168
131,0,0,0
132,2850,177,293
133,2512,249,268
134,0,0,0
135,5054,574,470
139,3709,205,249
140,2042,132,219
141,457,10,26
142,1205,83,45
148,1,0,0
149,1623,188,165
151,2528,201,279
152,3603,436,286
153,3592,115,231
154,2433,82,163
156,6146,387,447
160,144,0,6
164,2273,94,94
200,5014,306,199
202,3631,214,225
203,231,0,2
205,2938,67,129
206,1402,35,56
207,4105,145,289
208,7441,33,39
209,1299,52,75
210,1831,137,447
211,1929,74,169
212,2381,41,498
213,0,0,0
214,2620,157,579
215,7,0,0
216,3,0,0
217,2431,161,216
218,4951,117,210
219,0,0,0
220,1748,109,491
221,854,12,117
222,2971,195,343
223,777,48,63
224,280,7,15
225,0,0,0
226,1866,36,97
227,234,0,5
228,1781,64,223
231,2791,197,798
232,347,4,21
233,3777,103,446
234,2379,63,428
235,2754,172,183
236,3208,281,475
237,2133,113,666
238,2943,188,551
239,2495,230,491
240,1053,98,224
241,1786,149,215
242,5360,486,587
243,1859,154,332
244,761,34,99
245,1396,27,174
246,1825,134,458
247,799,35,267
248,2637,163,254
249,3164,185,614
250,5315,282,636
251,3214,221,580
252,2844,164,357
253,3032,183,958
254,3793,168,462
256,2091,142,648
258,2716,158,312
259,2909,169,352
260,1522,57,112
262,4883,246,897
263,3016,136,307
266,554,28,176
267,1648,86,230
268,1330,57,117
273,3032,220,545
274,2952,128,148
275,3699,228,236
277,6494,47,58
301,498,15,24
302,609,32,98
303,45,0,6
304,4324,245,890
305,11,0,5
307,383,16,113
309,2220,81,205
310,2382,79,170
311,5594,96,139
312,0,0,0
313,416,14,10
314,2418,60,309
315,2339,124,455
317,1145,41,201
318,11,0,4
321,777,43,172
323,2283,97,152
324,0,0,1
325,47,2,6
326,2349,77,405
327,3021,172,724
328,4379,175,536
329,4870,91,294
330,71,0,6
331,2889,202,529
332,2864,262,353
333,2963,170,577
334,3157,146,737
335,2662,103,441
336,2301,109,485
337,3865,178,779
338,622,26,87
339,1891,157,372
340,2283,121,173
341,6,0,0
342,4917,383,549
343,2973,31,57
344,1890,116,212
345,5,0,0
347,2868,133,641
349,5044,328,737
350,4122,168,344
351,1994,94,205
352,3609,185,322
354,4505,330,995
356,2038,82,117
358,4899,315,571
359,167,4,12
360,4406,229,634
362,2969,244,564
363,1623,107,385
364,24,4,7
365,1123,22,77
366,4889,334,846
367,5620,303,1030
368,0,0,0
374,215,9,38
375,57,2,2
401,1395,40,36
402,1653,26,49
404,2058,62,62
405,5,0,0
406,2837,106,510
407,2019,66,67
408,3273,82,192
409,2074,155,127
410,3184,108,152
411,1933,41,69
412,115,3,2
413,912,15,8
414,3052,110,191
415,1304,60,86
416,162,7,4
417,1656,39,73
419,576,24,38
420,2660,150,179
421,2872,159,249
422,2414,167,167
423,4594,244,191
424,2890,195,192
425,739,47,77
426,3321,256,153
427,2417,201,130
428,1310,61,122
429,7238,156,140
430,1658,69,46
431,6449,259,196
432,2,0,0
433,2906,163,143
434,4,0,1
435,5898,262,449
436,463,32,10
437,2593,160,222
438,1516,163,116
439,3027,244,169
440,1030,40,46
441,4111,256,302
442,1453,60,59
443,4492,130,147
444,270,10,7
446,1174,96,100
447,3978,173,214
448,3052,93,93
450,3806,129,176
451,3257,141,196
452,2534,63,74
454,2127,164,285
458,3503,178,312
460,3592,278,332
461,3987,213,252
463,3294,168,215
H228,0,0,0
H230,0,0,0
H442,0,0,0
W122,4,0,2
W138,1,0,0
W140,48,2,8
W146,2560,87,294
W147,872,32,65
W151,1467,36,104
W152,1166,31,53
W162,1152,58,95
W186,2158,52,241
W189,2212,66,190
W197,2266,51,238
W198,12,2,1
W218,2676,139,405
W266,81,1,4
W274,2418,58,230
W275,2386,78,311
